M1_P1,M1_P2,M2_P1,M2_P2
9.911242309594832101e-01,5.000000000000000000e-01,-9.587768074412162944e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.981753189120687209e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.624877514572576231e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.860392327949554225e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.101087403020847511e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.059549479720488963e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.761553057780878451e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.781636064223753646e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.059226825897765956e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.126213576052004228e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.186241007481926513e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.180276315239219942e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.018432439614119334e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.218828205932100284e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.161502338466068762e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.090460016488230544e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.115048260743529918e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.481166172775789436e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.043504298895685967e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.134191745820449126e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.234101511255978334e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.191049469249137349e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.024110758076343775e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.137307471518738788e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.283388945560192340e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.224709052027090683e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.424088053435686341e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.231450757985208533e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.314337657389554215e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.344845611525260498e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.035453128313716276e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.219204554221862580e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.355623666664255600e+00,2.000000000000000000e+00
